ADC_Maestria,Suporte_Maestria,ADC,Suporte,Lane,Frequencia
Baixa,Baixa,Twitch,Seraphine,BOTTOM,1
Baixa,Baixa,Twitch,Sona,BOTTOM,1
Baixa,Baixa,Varus,Ashe,BOTTOM,1
Baixa,Baixa,Varus,Janna,BOTTOM,1
Baixa,Baixa,Varus,Rell,BOTTOM,2
Baixa,Baixa,Varus,Senna,BOTTOM,1
Baixa,Baixa,Varus,Thresh,BOTTOM,1
Baixa,Baixa,Vayne,Leona,BOTTOM,1
Baixa,Baixa,Vayne,Soraka,BOTTOM,1
Baixa,Baixa,Vayne,TahmKench,BOTTOM,1
Baixa,Baixa,Veigar,Leona,BOTTOM,2
Baixa,Baixa,Xayah,Nautilus,BOTTOM,1
Baixa,Baixa,Xayah,Rakan,BOTTOM,1
Baixa,Baixa,Xayah,Thresh,BOTTOM,2
Baixa,Baixa,Zeri,Braum,BOTTOM,1
Baixa,Baixa,Zeri,Janna,BOTTOM,1
Baixa,Baixa,Zeri,Nami,BOTTOM,1
Baixa,Baixa,Zeri,Thresh,BOTTOM,1
Baixa,Baixa,Zeri,Yuumi,BOTTOM,1
Baixa,Baixa,Ziggs,Hwei,BOTTOM,1
Baixa,Baixa,Ziggs,Soraka,BOTTOM,1
Baixa,Baixa,Ziggs,Thresh,BOTTOM,1
