player_champion,player_lane,Taxa_Vitoria_Media,Popularidade
Olaf,MIDDLE,0.8333333333333334,6
Olaf,NONE,0.5,16
Olaf,TOP,0.47692307692307695,65
Orianna,BOTTOM,0.6666666666666666,3
Orianna,MIDDLE,0.4918032786885246,183
Orianna,NONE,0.3225806451612903,31
Orianna,TOP,0.5333333333333333,15
Ornn,BOTTOM,1.0,1
Ornn,JUNGLE,0.5555555555555556,9
Ornn,MIDDLE,0.5833333333333334,12
Ornn,NONE,0.4666666666666667,30
Ornn,TOP,0.4811320754716981,106
Pantheon,BOTTOM,0.5714285714285714,28
Pantheon,JUNGLE,0.5773195876288659,97
Pantheon,MIDDLE,0.6,15
Pantheon,NONE,0.5384615384615384,39
Pantheon,TOP,0.5230769230769231,65
Poppy,BOTTOM,0.5607476635514018,107
Poppy,JUNGLE,0.5068493150684932,73
Poppy,MIDDLE,0.6571428571428571,35
Poppy,NONE,0.611764705882353,85
Poppy,TOP,0.4744525547445255,137
Pyke,BOTTOM,0.481981981981982,222
Pyke,JUNGLE,0.5,6
Pyke,MIDDLE,0.35714285714285715,42
Pyke,NONE,0.46551724137931033,58
Pyke,TOP,0.8,5
Qiyana,JUNGLE,0.2,5
Qiyana,MIDDLE,0.45161290322580644,62
Qiyana,NONE,0.5833333333333334,12
Qiyana,TOP,0.7,10
Quinn,BOTTOM,1.0,1
Quinn,JUNGLE,0.5,28
Quinn,MIDDLE,0.75,12
Quinn,NONE,0.5454545454545454,22
Quinn,TOP,0.4716981132075472,53
Rakan,BOTTOM,0.4866920152091255,263
Rakan,JUNGLE,1.0,3
Rakan,MIDDLE,0.391304347826087,23
Rakan,NONE,0.417910447761194,67
Rakan,TOP,0.2857142857142857,7
Rammus,BOTTOM,1.0,1
Rammus,JUNGLE,0.5277777777777778,72
Rammus,NONE,0.7222222222222222,18
Rammus,TOP,0.5,6
RekSai,JUNGLE,0.4628099173553719,121
RekSai,MIDDLE,0.0,1
RekSai,NONE,0.6923076923076923,26
RekSai,TOP,0.5,10
Rell,BOTTOM,0.46153846153846156,221
Rell,JUNGLE,0.3333333333333333,3
Rell,MIDDLE,0.5,22
Rell,NONE,0.5208333333333334,48
Rell,TOP,0.75,4
Renata,BOTTOM,0.38372093023255816,86
Renata,JUNGLE,1.0,2
Renata,MIDDLE,0.25,4
Renata,NONE,0.6666666666666666,21
Renata,TOP,1.0,1
Renekton,BOTTOM,0.0,2
Renekton,JUNGLE,0.4918032786885246,61
Renekton,MIDDLE,0.5833333333333334,24
Renekton,NONE,0.43661971830985913,71
Renekton,TOP,0.4954545454545455,220
Rengar,BOTTOM,0.5185185185185185,27
Rengar,JUNGLE,0.46715328467153283,137
Rengar,MIDDLE,0.0,2
Rengar,NONE,0.5405405405405406,37
Rengar,TOP,0.36363636363636365,11
Riven,JUNGLE,0.6744186046511628,43
Riven,MIDDLE,0.6129032258064516,31
Riven,NONE,0.475,40
Riven,TOP,0.5463414634146342,205
Rumble,BOTTOM,0.5555555555555556,9
Rumble,JUNGLE,0.625,48
Rumble,MIDDLE,0.2962962962962963,27
Rumble,NONE,0.3333333333333333,33
Rumble,TOP,0.525,80
Ryze,JUNGLE,0.625,8
Ryze,MIDDLE,0.5327102803738317,107
Ryze,NONE,0.5,18
Ryze,TOP,0.43137254901960786,51
Samira,BOTTOM,0.48186528497409326,193
Samira,JUNGLE,1.0,1
Samira,MIDDLE,0.6363636363636364,22
Samira,NONE,0.6216216216216216,37
Samira,TOP,0.5,8
Sejuani,BOTTOM,0.3333333333333333,3
Sejuani,JUNGLE,0.4782608695652174,115
Sejuani,MIDDLE,0.5,2
Sejuani,NONE,0.6666666666666666,21
Sejuani,TOP,0.2,5
Senna,BOTTOM,0.546583850931677,322
Senna,JUNGLE,0.75,8
Senna,MIDDLE,0.4166666666666667,24
Senna,NONE,0.4375,64
Senna,TOP,0.8,10
Seraphine,BOTTOM,0.5796460176991151,226
Seraphine,JUNGLE,1.0,2
Seraphine,MIDDLE,0.4716981132075472,53
Seraphine,NONE,0.5970149253731343,67
Seraphine,TOP,0.7142857142857143,7
Sett,JUNGLE,0.6052631578947368,38
Sett,MIDDLE,0.5333333333333333,15
Sett,NONE,0.3939393939393939,33
Sett,TOP,0.47580645161290325,124
Shaco,BOTTOM,0.4772727272727273,44
Shaco,JUNGLE,0.4513888888888889,144
Shaco,MIDDLE,0.4,10
Shaco,NONE,0.3939393939393939,33
Shaco,TOP,0.5,8
Shen,BOTTOM,0.21052631578947367,19
Shen,JUNGLE,0.5263157894736842,38
Shen,MIDDLE,0.65,20
Shen,NONE,0.525,40
Shen,TOP,0.5252525252525253,99
Shyvana,JUNGLE,0.48514851485148514,101
Shyvana,MIDDLE,0.5,2
Shyvana,NONE,0.15384615384615385,13
Shyvana,TOP,0.4,5
Singed,BOTTOM,0.4642857142857143,28
Singed,JUNGLE,0.4074074074074074,27
Singed,MIDDLE,0.3333333333333333,21
Singed,NONE,0.34782608695652173,23
Singed,TOP,0.5909090909090909,44
Sion,BOTTOM,0.16666666666666666,6
Sion,JUNGLE,0.5,38
Sion,MIDDLE,0.5925925925925926,27
Sion,NONE,0.46153846153846156,26
Sion,TOP,0.4957983193277311,119
Sivir,BOTTOM,0.603448275862069,174
Sivir,JUNGLE,1.0,3
Sivir,MIDDLE,0.6363636363636364,11
Sivir,NONE,0.46153846153846156,39
Sivir,TOP,0.6,10
Skarner,BOTTOM,0.5,10
Skarner,JUNGLE,0.5,166
Skarner,MIDDLE,0.4,5
Skarner,NONE,0.5151515151515151,33
Skarner,TOP,0.5507246376811594,69
Smolder,BOTTOM,0.459214501510574,331
Smolder,JUNGLE,0.35714285714285715,14
Smolder,MIDDLE,0.35106382978723405,188
Smolder,NONE,0.3793103448275862,87
Smolder,TOP,0.4642857142857143,56
Sona,BOTTOM,0.5138888888888888,144
Sona,JUNGLE,0.0,2
Sona,MIDDLE,0.375,8
Sona,NONE,0.46153846153846156,39
Sona,TOP,1.0,2
Soraka,BOTTOM,0.5652173913043478,322
Soraka,JUNGLE,0.6666666666666666,3
Soraka,MIDDLE,0.6,10
Soraka,NONE,0.6290322580645161,62
Soraka,TOP,0.6666666666666666,3
Swain,BOTTOM,0.5185185185185185,108
Swain,JUNGLE,1.0,1
Swain,MIDDLE,0.5714285714285714,77
Swain,NONE,0.46153846153846156,39
Swain,TOP,0.5897435897435898,39
Sylas,BOTTOM,0.5172413793103449,29
Sylas,JUNGLE,0.37037037037037035,54
Sylas,MIDDLE,0.47619047619047616,189
Sylas,NONE,0.5294117647058824,68
Sylas,TOP,0.32786885245901637,61
Syndra,BOTTOM,0.5,6
Syndra,JUNGLE,1.0,1
Syndra,MIDDLE,0.46511627906976744,215
Syndra,NONE,0.45454545454545453,44
Syndra,TOP,0.5882352941176471,17
TahmKench,BOTTOM,0.5571428571428572,140
TahmKench,JUNGLE,0.45454545454545453,11
TahmKench,MIDDLE,0.46153846153846156,26
TahmKench,NONE,0.625,32
TahmKench,TOP,0.5675675675675675,74
Taliyah,BOTTOM,0.42857142857142855,7
Taliyah,JUNGLE,0.4357142857142857,140
Taliyah,MIDDLE,0.49645390070921985,141
Taliyah,NONE,0.40384615384615385,52
Taliyah,TOP,0.6428571428571429,14
Talon,JUNGLE,0.5730337078651685,89
Talon,MIDDLE,0.42028985507246375,69
Talon,NONE,0.6,25
Talon,TOP,0.625,8
Taric,BOTTOM,0.5555555555555556,54
Taric,JUNGLE,0.55,20
Taric,MIDDLE,0.6666666666666666,6
Taric,NONE,0.6111111111111112,18
Taric,TOP,0.0,1
Teemo,BOTTOM,0.2,5
Teemo,JUNGLE,0.5806451612903226,31
Teemo,MIDDLE,0.2,5
Teemo,NONE,0.375,8
Teemo,TOP,0.49056603773584906,53
