player_champion,player_lane,grupo_maestria,binary_win
Galio,BOTTOM,Alta,0.875
Galio,BOTTOM,Baixa,0.8
Galio,JUNGLE,Baixa,0.0
Galio,MIDDLE,Alta,0.6
Galio,MIDDLE,Baixa,0.5142857142857142
Galio,NONE,Alta,0.3333333333333333
Galio,NONE,Baixa,0.29411764705882354
Galio,TOP,Alta,0.0
Galio,TOP,Baixa,0.4166666666666667
Gangplank,BOTTOM,Alta,1.0
Gangplank,JUNGLE,Alta,0.5
Gangplank,JUNGLE,Baixa,0.6666666666666666
Gangplank,MIDDLE,Alta,0.42857142857142855
Gangplank,MIDDLE,Baixa,0.0
Gangplank,NONE,Alta,0.5357142857142857
Gangplank,NONE,Baixa,0.16666666666666666
Gangplank,TOP,Alta,0.512396694214876
Gangplank,TOP,Baixa,0.3902439024390244
Garen,BOTTOM,Baixa,0.3333333333333333
Garen,JUNGLE,Alta,0.875
Garen,JUNGLE,Baixa,0.6
Garen,MIDDLE,Alta,0.25
Garen,MIDDLE,Baixa,0.375
Garen,NONE,Alta,0.5454545454545454
Garen,NONE,Baixa,0.36363636363636365
Garen,TOP,Alta,0.5789473684210527
Garen,TOP,Baixa,0.4716981132075472
Gnar,BOTTOM,Baixa,1.0
Gnar,JUNGLE,Alta,0.6190476190476191
Gnar,JUNGLE,Baixa,0.36363636363636365
Gnar,MIDDLE,Alta,0.6666666666666666
Gnar,MIDDLE,Baixa,0.25
Gnar,NONE,Alta,0.6363636363636364
Gnar,NONE,Baixa,0.4166666666666667
Gnar,TOP,Alta,0.5
Gnar,TOP,Baixa,0.4772727272727273
Gragas,BOTTOM,Alta,0.6
Gragas,BOTTOM,Baixa,1.0
Gragas,JUNGLE,Alta,0.5125
Gragas,JUNGLE,Baixa,0.4270833333333333
Gragas,MIDDLE,Alta,0.4
Gragas,MIDDLE,Baixa,0.42857142857142855
Gragas,NONE,Alta,0.4383561643835616
Gragas,NONE,Baixa,0.4594594594594595
Gragas,TOP,Alta,0.5113636363636364
Gragas,TOP,Baixa,0.42857142857142855
Graves,BOTTOM,Baixa,0.0
Graves,JUNGLE,Alta,0.5161290322580645
Graves,JUNGLE,Baixa,0.47333333333333333
Graves,MIDDLE,Baixa,0.5
Graves,NONE,Alta,0.4
Graves,NONE,Baixa,0.45454545454545453
Graves,TOP,Alta,0.0
Graves,TOP,Baixa,0.5
Gwen,JUNGLE,Alta,0.4878048780487805
Gwen,JUNGLE,Baixa,0.53125
Gwen,MIDDLE,Alta,1.0
Gwen,MIDDLE,Baixa,0.5454545454545454
Gwen,NONE,Alta,0.6842105263157895
Gwen,NONE,Baixa,0.42857142857142855
Gwen,TOP,Alta,0.6216216216216216
Gwen,TOP,Baixa,0.4642857142857143
Hecarim,JUNGLE,Alta,0.42857142857142855
Hecarim,JUNGLE,Baixa,0.5256410256410257
Hecarim,NONE,Alta,0.75
Hecarim,NONE,Baixa,0.6153846153846154
Heimerdinger,BOTTOM,Baixa,0.6666666666666666
Heimerdinger,JUNGLE,Baixa,0.3333333333333333
Heimerdinger,MIDDLE,Baixa,0.6666666666666666
Heimerdinger,TOP,Baixa,0.38461538461538464
Hwei,BOTTOM,Alta,0.41935483870967744
Hwei,BOTTOM,Baixa,0.6875
Hwei,JUNGLE,Alta,1.0
Hwei,JUNGLE,Baixa,1.0
Hwei,MIDDLE,Alta,0.5721649484536082
Hwei,MIDDLE,Baixa,0.4429530201342282
Hwei,NONE,Alta,0.6153846153846154
Hwei,NONE,Baixa,0.45714285714285713
Hwei,TOP,Alta,0.47619047619047616
Hwei,TOP,Baixa,0.8
Illaoi,JUNGLE,Alta,1.0
Illaoi,JUNGLE,Baixa,0.7142857142857143
Illaoi,MIDDLE,Alta,0.5
Illaoi,MIDDLE,Baixa,0.4
Illaoi,NONE,Alta,0.25
Illaoi,NONE,Baixa,0.3333333333333333
Illaoi,TOP,Alta,0.35714285714285715
Illaoi,TOP,Baixa,0.5555555555555556
Irelia,BOTTOM,Alta,1.0
Irelia,BOTTOM,Baixa,0.0
Irelia,JUNGLE,Alta,0.42857142857142855
Irelia,JUNGLE,Baixa,0.6666666666666666
Irelia,MIDDLE,Alta,0.5208333333333334
Irelia,MIDDLE,Baixa,0.3076923076923077
Irelia,NONE,Alta,0.631578947368421
Irelia,NONE,Baixa,0.5
Irelia,TOP,Alta,0.49056603773584906
Irelia,TOP,Baixa,0.4067796610169492
Ivern,BOTTOM,Alta,0.53125
Ivern,BOTTOM,Baixa,0.5
Ivern,JUNGLE,Alta,0.6039603960396039
Ivern,JUNGLE,Baixa,0.5416666666666666
Ivern,MIDDLE,Alta,1.0
Ivern,MIDDLE,Baixa,1.0
Ivern,NONE,Alta,0.4857142857142857
Ivern,NONE,Baixa,0.6
Ivern,TOP,Alta,0.0
Janna,BOTTOM,Alta,0.5596330275229358
Janna,BOTTOM,Baixa,0.4631578947368421
Janna,JUNGLE,Alta,0.0
Janna,JUNGLE,Baixa,0.0
Janna,MIDDLE,Alta,0.5
Janna,MIDDLE,Baixa,0.6
Janna,NONE,Alta,0.48148148148148145
Janna,NONE,Baixa,0.5333333333333333
Janna,TOP,Alta,1.0
Janna,TOP,Baixa,1.0
JarvanIV,BOTTOM,Alta,0.5
JarvanIV,BOTTOM,Baixa,0.0
JarvanIV,JUNGLE,Alta,0.45
JarvanIV,JUNGLE,Baixa,0.49295774647887325
JarvanIV,MIDDLE,Alta,0.6
JarvanIV,MIDDLE,Baixa,1.0
JarvanIV,NONE,Alta,0.36363636363636365
JarvanIV,NONE,Baixa,0.2222222222222222
JarvanIV,TOP,Baixa,0.5
Jax,BOTTOM,Alta,1.0
Jax,BOTTOM,Baixa,0.0
Jax,JUNGLE,Alta,0.6666666666666666
Jax,JUNGLE,Baixa,0.44285714285714284
Jax,MIDDLE,Alta,0.7
Jax,MIDDLE,Baixa,0.4
Jax,NONE,Alta,0.5
Jax,NONE,Baixa,0.48717948717948717
Jax,TOP,Alta,0.5591397849462365
Jax,TOP,Baixa,0.45794392523364486
Jayce,JUNGLE,Alta,0.5555555555555556
Jayce,JUNGLE,Baixa,0.5625
Jayce,MIDDLE,Alta,0.4666666666666667
Jayce,MIDDLE,Baixa,0.5094339622641509
Jayce,NONE,Alta,0.4
Jayce,NONE,Baixa,0.4782608695652174
Jayce,TOP,Alta,0.5686274509803921
Jayce,TOP,Baixa,0.4810126582278481
Jhin,BOTTOM,Alta,0.5431818181818182
Jhin,BOTTOM,Baixa,0.4896755162241888
Jhin,JUNGLE,Alta,0.8461538461538461
Jhin,JUNGLE,Baixa,0.5
Jhin,MIDDLE,Alta,0.4838709677419355
Jhin,MIDDLE,Baixa,0.5416666666666666
Jhin,NONE,Alta,0.5480769230769231
Jhin,NONE,Baixa,0.4230769230769231
Jhin,TOP,Alta,0.8235294117647058
Jhin,TOP,Baixa,0.42857142857142855
Jinx,BOTTOM,Alta,0.5460992907801419
Jinx,BOTTOM,Baixa,0.4748427672955975
Jinx,JUNGLE,Alta,0.45454545454545453
Jinx,JUNGLE,Baixa,0.25
Jinx,MIDDLE,Alta,0.53125
Jinx,MIDDLE,Baixa,0.5
Jinx,NONE,Alta,0.4732824427480916
Jinx,NONE,Baixa,0.4838709677419355
Jinx,TOP,Alta,0.7857142857142857
Jinx,TOP,Baixa,0.5555555555555556
KSante,BOTTOM,Baixa,1.0
KSante,JUNGLE,Alta,0.75
KSante,JUNGLE,Baixa,0.2727272727272727
KSante,MIDDLE,Alta,0.0
KSante,MIDDLE,Baixa,0.5714285714285714
KSante,NONE,Alta,0.47058823529411764
KSante,NONE,Baixa,0.25
KSante,TOP,Alta,0.5531914893617021
KSante,TOP,Baixa,0.4
Kaisa,BOTTOM,Alta,0.5293132328308208
Kaisa,BOTTOM,Baixa,0.44256756756756754
Kaisa,JUNGLE,Alta,0.5
Kaisa,JUNGLE,Baixa,0.3333333333333333
Kaisa,MIDDLE,Alta,0.4888888888888889
