ADC_Maestria,Suporte_Maestria,ADC,Suporte,Frequencia
Alta,Baixa,Smolder,TahmKench,6732
Alta,Baixa,Smolder,Thresh,23103
Alta,Baixa,Smolder,Velkoz,10404
Alta,Baixa,Smolder,Xerath,5202
Alta,Baixa,Smolder,Zilean,5661
Alta,Baixa,Smolder,Zyra,8568
Alta,Baixa,Swain,Xerath,1326
Alta,Baixa,Tristana,Brand,891
Alta,Baixa,Tristana,Milio,3915
Alta,Baixa,Tristana,Senna,4347
Alta,Baixa,Tristana,Seraphine,2835
Alta,Baixa,Tristana,Soraka,2268
Alta,Baixa,Tristana,Thresh,4077
Alta,Baixa,Tristana,Velkoz,918
Alta,Baixa,Tristana,Zilean,999
Alta,Baixa,Twitch,Lulu,11356
Alta,Baixa,Twitch,Nami,10132
Alta,Baixa,Twitch,Pyke,4352
Alta,Baixa,Twitch,Seraphine,7140
Alta,Baixa,Twitch,Sona,3740
Alta,Baixa,Twitch,Yuumi,2584
Alta,Baixa,Varus,Ashe,58512
Alta,Baixa,Varus,Brand,6072
Alta,Baixa,Varus,Hwei,6808
Alta,Baixa,Varus,Janna,15272
Alta,Baixa,Varus,Karma,114080
Alta,Baixa,Varus,Leona,23000
Alta,Baixa,Varus,Nami,82248
Alta,Baixa,Varus,Nautilus,34960
Alta,Baixa,Varus,Pantheon,3496
Alta,Baixa,Varus,Rakan,25208
Alta,Baixa,Varus,Rell,66240
Alta,Baixa,Varus,Senna,29624
Alta,Baixa,Varus,Seraphine,19320
Alta,Baixa,Varus,Thresh,55568
Alta,Baixa,Vayne,Anivia,130
Alta,Baixa,Vayne,Camille,1690
Alta,Baixa,Vayne,Karma,20150
Alta,Baixa,Vayne,Leona,16250
Alta,Baixa,Vayne,Lulu,21710
Alta,Baixa,Vayne,Pyke,8320
Alta,Baixa,Vayne,Seraphine,27300
Alta,Baixa,Vayne,Soraka,21840
Alta,Baixa,Vayne,TahmKench,11440
Alta,Baixa,Vayne,Thresh,19630
Alta,Baixa,Veigar,Leona,7500
Alta,Baixa,Veigar,Soraka,2520
Alta,Baixa,Xayah,Alistar,9064
Alta,Baixa,Xayah,Bard,4664
Alta,Baixa,Xayah,Braum,11616
Alta,Baixa,Xayah,Lulu,29392
Alta,Baixa,Xayah,Nautilus,33440
Alta,Baixa,Xayah,Rakan,12056
Alta,Baixa,Xayah,Soraka,7392
Alta,Baixa,Xayah,Thresh,39864
Alta,Baixa,Yasuo,Ivern,21
Alta,Baixa,Zeri,Braum,16896
Alta,Baixa,Zeri,Janna,10624
Alta,Baixa,Zeri,Karma,19840
Alta,Baixa,Zeri,Leona,16000
Alta,Baixa,Zeri,Lulu,42752
Alta,Baixa,Zeri,Nami,38144
Alta,Baixa,Zeri,Neeko,3712
Alta,Baixa,Zeri,Pyke,8192
Alta,Baixa,Zeri,Renata,9472
Alta,Baixa,Zeri,Soraka,10752
Alta,Baixa,Zeri,Taric,1536
Alta,Baixa,Zeri,Thresh,19328
Alta,Baixa,Zeri,Xerath,4352
Alta,Baixa,Zeri,Yuumi,4864
Alta,Baixa,Ziggs,Alistar,2266
Alta,Baixa,Ziggs,Hwei,814
Alta,Baixa,Ziggs,Morgana,1870
Alta,Baixa,Ziggs,Rell,2640
Alta,Baixa,Ziggs,Soraka,1848
Alta,Baixa,Ziggs,TahmKench,968
Alta,Baixa,Ziggs,Thresh,3322
