player_champion,Posição_Counter,Counter,Campeão,Taxa_Vitoria_Media
Garen,Counter 2,Volibear,Volibear,0.20399927333125714
Gnar,Counter 2,Veigar,Veigar,0.22189004289596007
Gragas,Counter 2,Lulu,Lulu,0.3254908291455484
Graves,Counter 2,Malzahar,Malzahar,0.20562599793369027
Gwen,Counter 2,Xerath,Xerath,0.2052069725146648
Heimerdinger,Counter 2,Renata,Renata,0.1493096646942801
Hwei,Counter 2,Lux,Lux,0.3162621745957339
Illaoi,Counter 2,Rell,Rell,0.20301109147262997
Irelia,Counter 2,Nasus,Nasus,0.1720578566732413
Ivern,Counter 2,Thresh,Thresh,0.26631874059403327
Janna,Counter 2,Thresh,Thresh,0.26631874059403327
Jarvaniv,Counter 2,Velkoz,Velkoz,0.2047102470179393
Jax,Counter 2,Talon,Talon,0.22311449234526154
Jayce,Counter 2,Tryndamere,Tryndamere,0.1325269752871563
Jhin,Counter 2,Leona,Leona,0.233672908859428
Jinx,Counter 2,Kayn,Kayn,0.22936507936507927
Ksante,Counter 2,Malphite,Malphite,0.21172609441840212
Kaisa,Counter 2,Kindred,Kindred,0.17363918133148898
Kalista,Counter 2,Vi,Vi,0.22872640180332493
Karma,Counter 2,Khazix,Khazix,0.2263119359273206
Karthus,Counter 2,Sylas,Sylas,0.19723873828514127
Katarina,Counter 2,Leblanc,Leblanc,0.2758646350362327
Kayle,Counter 2,Warwick,Warwick,0.13737672583826432
Kayn,Counter 2,Kindred,Kindred,0.17363918133148898
Kennen,Counter 2,Rengar,Rengar,0.1986592467361698
Khazix,Counter 2,Xayah,Xayah,0.24257458228046463
Kled,Counter 2,Riven,Riven,0.22140536688048001
Kogmaw,Counter 2,Kayn,Kayn,0.22936507936507927
Leblanc,Counter 2,Twitch,Twitch,0.21795896411281018
Leesin,Counter 2,Sona,Sona,0.18727810650887572
Leona,Counter 2,Tryndamere,Tryndamere,0.1325269752871563
Lillia,Counter 2,Vayne,Vayne,0.22375342441910484
Lissandra,Counter 2,Trundle,Trundle,0.1932709194563778
Lucian,Counter 2,Sivir,Sivir,0.24350792205821795
Lulu,Counter 2,Seraphine,Seraphine,0.26780519776081907
Lux,Counter 2,Senna,Senna,0.31202607096272256
Malphite,Counter 2,Vi,Vi,0.22872640180332493
Maokai,Counter 2,Volibear,Volibear,0.20399927333125714
Masteryi,Counter 2,Kled,Kled,0.11045364891518739
Milio,Counter 2,Kassadin,Kassadin,0.1916596224288532
Missfortune,Counter 2,Karthus,Karthus,0.2022725138109753
Monkeyking,Counter 2,Karthus,Karthus,0.2022725138109753
Mordekaiser,Counter 2,Sejuani,Sejuani,0.17290081713158634
Morgana,Counter 2,Soraka,Soraka,0.2564086308169149
Naafiri,Counter 2,Volibear,Volibear,0.20399927333125714
Nami,Counter 2,Sivir,Sivir,0.24350792205821795
Nasus,Counter 2,Skarner,Skarner,0.19260059232586704
