player_champion,player_lane,kills_media,deaths_media,assists_media,duracao_media,taxa_vitoria,cluster
Ezreal,NONE,2.653179190751445,2.0289017341040463,2.069364161849711,670.2312138728323,0.5260115606936416,3
Ezreal,TOP,7.464285714285714,6.357142857142857,7.0,1689.9285714285713,0.42857142857142855,1
FiddleSticks,BOTTOM,3.8333333333333335,8.0,11.0,1582.5,0.16666666666666666,1
FiddleSticks,JUNGLE,5.980952380952381,5.885714285714286,10.019047619047619,1573.5238095238096,0.5428571428571428,1
FiddleSticks,MIDDLE,5.0,13.0,7.0,1996.0,0.0,1
FiddleSticks,NONE,1.8666666666666667,2.533333333333333,3.0,845.8,0.4666666666666667,3
FiddleSticks,TOP,4.0,3.0,6.0,1317.0,1.0,2
Fiora,JUNGLE,6.84375,6.5625,4.25,1557.53125,0.59375,1
Fiora,MIDDLE,6.6,6.0,5.4,1451.6,0.6,1
Fiora,NONE,2.5,2.4285714285714284,1.3571428571428572,790.25,0.5714285714285714,3
Fiora,TOP,6.346774193548387,6.935483870967742,3.7096774193548385,1602.6774193548388,0.47580645161290325,1
Fizz,BOTTOM,8.0,1.0,10.0,1518.0,1.0,2
Fizz,JUNGLE,14.0,3.0,5.333333333333333,1690.0,1.0,2
Fizz,MIDDLE,9.709677419354838,6.053763440860215,6.311827956989247,1679.6236559139784,0.5053763440860215,1
Fizz,NONE,3.130434782608696,1.2173913043478262,1.8695652173913044,717.4782608695652,0.7391304347826086,3
Fizz,TOP,12.142857142857142,5.571428571428571,5.642857142857143,1987.0,0.6428571428571429,2
Galio,BOTTOM,1.9230769230769231,6.0,16.23076923076923,1701.3846153846155,0.8461538461538461,0
Galio,JUNGLE,4.0,6.0,13.5,970.0,0.0,1
Galio,MIDDLE,5.253333333333333,6.213333333333333,10.84,1708.84,0.52,1
Galio,NONE,1.9,2.65,3.25,673.7,0.3,3
Galio,TOP,5.3076923076923075,6.615384615384615,13.076923076923077,1720.8461538461538,0.38461538461538464,1
Gangplank,BOTTOM,7.0,11.0,4.0,2023.0,1.0,2
Gangplank,JUNGLE,5.225806451612903,6.419354838709677,6.193548387096774,1549.9032258064517,0.5161290322580645,1
Gangplank,MIDDLE,8.875,6.4375,6.8125,1674.375,0.375,1
Gangplank,NONE,1.4705882352941178,2.5294117647058822,1.2352941176470589,794.0588235294117,0.47058823529411764,3
Gangplank,TOP,6.2407407407407405,6.481481481481482,6.450617283950617,1651.9567901234568,0.48148148148148145,1
Garen,BOTTOM,9.666666666666666,3.6666666666666665,5.333333333333333,1414.0,0.3333333333333333,1
Garen,JUNGLE,8.38888888888889,5.333333333333333,4.833333333333333,1804.4444444444443,0.7222222222222222,2
Garen,MIDDLE,6.833333333333333,5.416666666666667,4.333333333333333,1540.5833333333333,0.3333333333333333,1
Garen,NONE,1.5454545454545454,2.303030303030303,0.8484848484848485,602.060606060606,0.48484848484848486,3
Garen,TOP,7.463636363636364,5.827272727272727,4.136363636363637,1702.1181818181817,0.5272727272727272,1
Gnar,BOTTOM,2.0,4.0,6.0,1617.0,1.0,2
Gnar,JUNGLE,5.930232558139535,6.744186046511628,6.395348837209302,1723.3488372093022,0.4883720930232558,1
Gnar,MIDDLE,4.0,5.909090909090909,5.545454545454546,1662.1818181818182,0.36363636363636365,1
Gnar,NONE,1.9782608695652173,2.5869565217391304,1.4130434782608696,804.7173913043479,0.5217391304347826,3
Gnar,TOP,5.604938271604938,6.037037037037037,5.839506172839506,1606.858024691358,0.4876543209876543,1
